# Radial distribution function (1000 data points):
# "Pair separation distance" C-C
3.66075 1.0550794685 
3.66525 1.0513115641 
3.66975 1.0599992626 
3.67425 1.0556194278 
3.67875 1.0492737247 
3.68325 1.0544254674 
3.68775 1.0546381668 
3.69225 1.0536682858 
3.69675 1.0529519013 
3.70125 1.059824848 
3.70575 1.0567176743 
3.71025 1.0539225346 
3.71475 1.055179196 
3.71925 1.0626980604 
3.72375 1.0575492266 
3.72825 1.054915288 
3.73275 1.0476461108 
3.73725 1.0536855059 
3.74175 1.0451203578 
3.74625 1.0509182031 
3.75075 1.0505187609 
3.75525 1.0478235318 
3.75975 1.0466480816 
3.76425 1.0493462448 
3.76875 1.0514468579 
3.77325 1.0409290678 
3.77775 1.04350012 
3.78225 1.0433126745 
3.78675 1.0443875445 
3.79125 1.0352995267 
3.79575 1.0472140849 
3.80025 1.0408421276 
3.80475 1.0344656608 
3.80925 1.038444382 
3.81375 1.0348275833 
3.81825 1.0337436167 
3.82275 1.0366351698 
3.82725 1.0335095132 
3.83175 1.0275664601 
3.83625 1.031909516 
3.84075 1.0329311481 
3.84525 1.0298630355 
3.84975 1.0230745102 
3.85425 1.0225099258 
3.85875 1.0220068428 
3.86325 1.018412523 
3.86775 1.0188055708 
3.87225 1.0151227146 
3.87675 1.0159436504 
3.88125 1.0147775225 
3.88575 1.0106501513 
3.89025 1.0199141792 
3.89475 1.0084962037 
3.89925 1.002033905 
3.90375 1.0039267366 
3.90825 1.0011804773 
3.91275 1.0018320482 
3.91725 1.0008178565 
3.92175 1.0005816127 
3.92625 0.9950884923 
3.93075 0.9882216554 
3.93525 0.9917276888 
3.93975 0.9933373421 
3.94425 0.9892132776 
3.94875 0.9908014591 
3.95325 0.9911903686 
3.95775 0.9919265864 
3.96225 0.9841928983 
3.96675 0.9815381994 
3.97125 0.9793295629 
3.97575 0.9813970534 
3.98025 0.9808451439 
3.98475 0.979613899 
3.98925 0.9740593776 
3.99375 0.9754483197 
3.99825 0.9693632902 
4.00275 0.9777990286 
4.00725 0.9688870274 
4.01175 0.9749425406 
4.01625 0.9681207362 
4.02075 0.9684960089 
4.02525 0.9704960803 
4.02975 0.9667186682 
4.03425 0.9585561166 
4.03875 0.9644269519 
4.04325 0.9582102397 
4.04775 0.9681411523 
4.05225 0.9593953559 
4.05675 0.9572820396 
4.06125 0.9583899347 
4.06575 0.9623783559 
4.07025 0.9548627968 
4.07475 0.9580350382 
4.07925 0.9512884629 
4.08375 0.9504041186 
4.08825 0.9483954081 
4.09275 0.9463384253 
4.09725 0.9547874165 
4.10175 0.9468552832 
4.10625 0.9510421864 
4.11075 0.953836793 
4.11525 0.9512911522 
4.11975 0.9565700408 
4.12425 0.9452009246 
4.12875 0.9449861043 
4.13325 0.9461536562 
4.13775 0.9518982571 
4.14225 0.9476509617 
4.14675 0.9483847266 
4.15125 0.9409627616 
4.15575 0.9425538602 
4.16025 0.9494663817 
4.16475 0.9456691644 
4.16925 0.9451340031 
4.17375 0.9499477251 
4.17825 0.9499665443 
4.18275 0.9505340265 
4.18725 0.9476019771 
4.19175 0.944288478 
4.19625 0.9433721214 
4.20075 0.9475036612 
4.20525 0.9453730946 
4.20975 0.9451142625 
4.21425 0.9492479691 
4.21875 0.9438842417 
4.22325 0.9436881293 
4.22775 0.9453139825 
4.23225 0.9426513698 
4.23675 0.9405349187 
4.24125 0.9411173278 
4.24575 0.9421025573 
4.25025 0.9454445143 
4.25475 0.946577028 
4.25925 0.9511562913 
4.26375 0.946599581 
4.26825 0.9463682788 
4.27275 0.9498316938 
4.27725 0.953930758 
4.28175 0.9516888586 
4.28625 0.9477054095 
4.29075 0.9504306201 
4.29525 0.9471713573 
4.29975 0.9505028122 
4.30425 0.949680823 
4.30875 0.9605790941 
4.31325 0.9548503506 
4.31775 0.9548799576 
4.32225 0.9555584557 
4.32675 0.9582302954 
4.33125 0.9527169221 
4.33575 0.9627776465 
4.34025 0.9572979357 
4.34475 0.9641181312 
4.34925 0.9594670619 
4.35375 0.9579326698 
4.35825 0.9606797718 
4.36275 0.9667896324 
4.36725 0.9558940669 
4.37175 0.9707023777 
4.37625 0.9650402072 
4.38075 0.9644936507 
4.38525 0.9659761141 
4.38975 0.9662475928 
4.39425 0.9714958919 
